ID,Grade,card_name,card_number,card_set,left,right,Sides_total,top,bottom,top_bot_total,side_split_percent,tb_split_percent,clean cut,white tick,white fuzz,bend,fray,clean_edges,minor_whitening,majority_white_edge,chipped,frayed,wax is mint,minor defect,very light scratch,light scratch,noticible,dent,crease,crease_across_card
G26,9,wartortle,2,blastoise ex deck,3.25,2.39,5.64,2.4,2.95,5.35,0.5762411348,0.5514018692,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G27,9,wartortle,2,blastoise ex deck,3.25,2.39,5.64,2.4,2.95,5.35,0.5762411348,0.5514018692,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G28,8.5,charizard gx,211,hidden fates tin,2.25,3.03,5.28,2.87,2.81,5.68,0.4261363636,0.4947183099,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G29,7.5,mewtwo gx,78,shining legends,3.11,2.14,5.25,2.14,3.46,5.6,0.5923809524,0.6178571429,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
G30,7.5,Raichu,14,Base set,2.9,4.06,6.96,3.71,4.48,8.19,0.4166666667,0.547008547,4,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
G31,6.5,misty's gyarados,130,gym booster,3.93,2.21,6.14,2.2,3.53,5.73,0.6400651466,0.6160558464,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
G32,6,shining steelix,112,neo destiny,3.15,3.34,6.49,3.33,4.14,7.47,0.4853620955,0.5542168675,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G33,6,sabina's Alakazam,65,gym booster,2.3,2.7,5,2.66,2.37,5.03,0.46,0.4711729622,2,0,2,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
G34,6,gyarados,6,Base set,2.66,2.66,5.32,3.19,3.84,7.03,0.5,0.546230441,0,1,1,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0
G35,5,rocket's zapdos,145,jap rocket,2.54,1.97,4.51,2.4,2.09,4.49,0.5631929047,0.4654788419,3,0,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0
G36,8.5,Charizard Ex,228,Obsidian Flames,2.5,2.5,5,2.35,2.35,4.7,0.5,0.5,3,1,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0
G37,10,Umbreon EX,55,Fates Collide,2.5,2.5,5,2.5,2.5,5,0.5,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G38,9,Alakazam ES,50,151 Promo,2.7,2.32,5.02,2.87,2.32,5.19,0.5378486056,0.4470134875,1,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G39,1,Raichu,14,Base set,3,3.55,6.55,4.63,2.12,6.75,0.4580152672,0.3140740741,0,0,0,2,4,0,0,4,2,2,0,0,0,0,4,0,2,1
G40,8,Glaceon EX,116,Fates Collide,3.26,2.21,5.47,3.09,1.86,4.95,0.5959780622,0.3757575758,0,4,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0
G41,8,Jolteon V,183,SWSH promos,2.72,2.72,5.44,2,3.3,5.3,0.5,0.6226415094,3,1,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G42,8,M Blastoise EX,102,Evolutions,2.42,2.62,5.04,2.37,2.12,4.49,0.4801587302,0.4721603563,3,0,1,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G43,10,Umbreon Vmax,48,Eevee Heros ,2.2,2.29,4.49,2.6,2.6,5.2,0.4899777283,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G44,10,Glaceon,69,Yu Nagaba,2.65,2.08,4.73,2.46,2.08,4.54,0.5602536998,0.4581497797,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G45,10,Poliwhirl,176,Jpn 151,2.18,1.28,3.46,1.78,1.78,3.56,0.6300578035,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G46,10,Zapdos Ex,145,Jpn 151,2.37,2.37,4.74,2.38,2.38,4.76,0.5,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G47,10,Nidoqueen,31,Jpn 151,2.38,2.38,4.76,2.38,2.24,4.62,0.5,0.4848484848,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G48,10,Umbreon GX,80,Sun and Moon,2.18,2.18,4.36,2.38,2.38,4.76,0.5,0.5,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G49,10,Sylveon Vmax,TG15,Brilliant Stars,2.38,2.38,4.76,2.97,2.98,5.95,0.5,0.5008403361,4,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G50,6,Ninetales(Black Flame Error),12,Base set,2.94,2.94,5.88,2.94,3.01,5.95,0.5,0.5058823529,0,1,2,1,0,0,3,0,1,0,0,0,0,0,2,0,0,0
G51,8,Articuno (1st Edition),17,Fossil,3.04,2.7,5.74,3.2,3.46,6.66,0.5296167247,0.5195195195,2,1,1,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0
G52,9,Articuno ,2,Fossil,3.01,3.01,6.02,3.91,3.36,7.27,0.5,0.462173315,0,2,2,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0
G53,9,Flareon,3,Jungle,3.1,2.62,5.72,2.94,3.68,6.62,0.541958042,0.5558912387,4,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0
